행정동_코드,행정동_한글,자치구명,year,month,위험노출시간,pm25_평균,pm10_평균,온도_평균,습도_평균,열지수_평균,소음_평균,high_temp_risk_비율,low_temp_risk_비율,humidity_risk_비율,noise_risk_비율,병원수,공원면적,금연구역수,환자수_인구보정,위험노출시간_norm,환자수_norm,병원수_norm,공원면적_norm,금연구역수_norm,건강안전도_점수,건강안전도_등급,계절
1132069000,방학1동,도봉구,2025,1,0.36,24.671177266576453,38.78513513513514,0.339808362369338,55.351981403974136,0.339808362369338,51.865577280337455,0.0,0.8536585365853658,0.1004645760743321,0.3013937282229965,4.0,1084218.0,0.0,67003.90363338185,0.3636363636363636,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,58,4,겨울
1132069000,방학1동,도봉구,2025,2,0.44,16.585585585585587,34.403614457831324,-0.3599050203527815,50.3835477956819,-0.3599050203527815,52.0940965731015,0.0,0.8409090909090909,0.1190637720488466,0.32157394843962,4.0,1084218.0,0.0,67003.90363338185,0.4444444444444445,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,53,4,겨울
1132069000,방학1동,도봉구,2025,3,0.58,25.47138964577657,51.65034013605442,8.925075803517284,51.79787212575744,8.925075803517284,51.899623919820776,0.0,0.2719830200121285,0.1555488174651303,0.3402061855670103,4.0,1084218.0,0.0,67003.90363338185,0.5858585858585859,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,42,5,봄
1132069000,방학1동,도봉구,2025,4,0.2,16.92131616595136,37.65966386554622,14.8453216374269,53.19110926262136,14.844664080468345,51.98810268624008,0.0,0.0315139701104613,0.1533463287849252,0.3430799220272904,4.0,1084218.0,0.0,67003.90363338185,0.202020202020202,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,70,2,봄
1132069000,방학1동,도봉구,2025,5,0.0,13.282786885245905,28.669004207573632,19.39887825800066,58.11692273148009,19.47396130439871,51.53965569702472,0.0059386341141537,0.0,0.1045859452325965,0.3130979874628835,4.0,1084218.0,0.0,67003.90363338185,0.0,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,85,1,봄
1132069000,방학1동,도봉구,2025,6,0.0,11.715909090909092,25.712885154061624,25.4538018018018,59.79444156185821,26.282773419712683,51.4285548060224,0.0623423423423423,0.0,0.0717117117117117,0.2904504504504504,4.0,1084218.0,0.0,67003.90363338185,0.0,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,85,1,여름
1132069000,방학1동,도봉구,2025,7,0.18,8.074525745257452,17.5578231292517,30.12608546518405,61.01809770572084,34.803760617852994,51.57731438603196,0.4419856459330143,0.0,0.0463516746411483,0.3199760765550239,4.0,1084218.0,0.0,67003.90363338185,0.1818181818181818,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,72,2,여름
1132069000,방학1동,도봉구,2025,8,0.18,7.854724964739069,16.544554455445546,29.407809030347888,63.10915564872542,33.068728420868496,52.25705016750136,0.3612139156180607,0.0,0.0695780903034789,0.3971132494448556,4.0,1084218.0,0.0,67003.90363338185,0.1818181818181818,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,72,2,여름
1132069000,방학1동,도봉구,2025,9,0.0,8.498595505617978,15.342696629213483,24.698508771929824,64.97159707423712,25.523651727920377,51.55745614035088,0.05,0.0,0.1469298245614035,0.3868421052631579,4.0,1084218.0,0.0,67003.90363338185,0.0,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,85,1,가을
1132069000,방학1동,도봉구,2025,10,0.0,9.382022471910112,15.213389121338912,22.8686224489796,66.75201551667655,22.92934005261996,50.99234693877551,0.0,0.0,0.1760204081632653,0.3545918367346938,4.0,1084218.0,0.0,67003.90363338185,0.0,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,85,1,가을
1132069000,방학1동,도봉구,2025,11,0.28,22.966339410939693,37.44192634560906,8.361561561561562,61.23314898703214,8.361561561561562,52.0,0.0,0.1801801801801801,0.045045045045045,0.3948948948948949,4.0,1084218.0,0.0,67003.90363338185,0.2828282828282829,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,64,3,가을
1132069000,방학1동,도봉구,2025,12,0.36,21.394843962008142,30.65474552957359,2.065466448445172,53.27505775611873,2.065466448445172,51.99672667757774,0.0,0.7414075286415712,0.1194762684124386,0.3895253682487725,4.0,1084218.0,0.0,67003.90363338185,0.3636363636363636,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,58,4,겨울
1132070000,방학2동,도봉구,2025,1,0.44,24.67117726657645,38.785135135135135,-0.0954732510288065,58.01471140743189,-0.0954732510288065,46.77914951989026,0.0,0.8737997256515775,0.1220850480109739,0.0,4.0,1084218.0,0.0,67003.90363338185,0.4444444444444445,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,53,4,겨울
1132070000,방학2동,도봉구,2025,2,0.44,16.585585585585587,34.403614457831324,-0.5625,52.60670731707317,-0.5625,47.14329268292683,0.0,0.8521341463414634,0.1036585365853658,0.0,4.0,1084218.0,0.0,67003.90363338185,0.4444444444444445,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,53,4,겨울
1132070000,방학2동,도봉구,2025,3,0.58,25.471389645776565,51.650340136054425,8.719472913616398,54.1946056584753,8.719472913616398,46.54612005856515,0.0,0.3030746705710102,0.171303074670571,0.0,4.0,1084218.0,0.0,67003.90363338185,0.5858585858585859,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,42,5,봄
1132070000,방학2동,도봉구,2025,4,0.2,16.92131616595136,37.65966386554622,14.431695721077654,56.58034267234801,14.42930292536137,46.22187004754358,0.0,0.0396196513470681,0.1838351822503962,0.0,4.0,1084218.0,0.0,67003.90363338185,0.202020202020202,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,70,2,봄
1132070000,방학2동,도봉구,2025,5,0.0,13.282786885245905,28.66900420757364,18.67056074766355,62.69587565692634,18.70546302551612,46.44704049844237,0.0,0.0,0.1915887850467289,0.0,4.0,1084218.0,0.0,67003.90363338185,0.0,0.0065523826417729,0.5555555555555556,0.9256788530999104,1.0,85,1,봄
